 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__29_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__28_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__27_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__26_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__25_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__24_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__23_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__22_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__21_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__20_  (DFFR_X1)
